ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"104.24.206.207","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","13335","socks4","719","1","2023-12-12T07:33:35.916Z","100","5056","5056"
"143.198.229.225","elite","AS14061","US","DigitalOcean, LLC","199","DigitalOcean, LLC","3240","socks4","5004","1","2023-12-12T07:33:32.414Z","90","4654","5177"
"210.213.90.26","elite","AS9299","PH","Philippine Long Distance Telephone Co.","296","Philippine Long Distance Telephone Co","8080","socks4","2616","1","2023-12-12T07:33:32.413Z","98","5046","5152"
"180.183.6.44","elite","AS45629","TH","Triple T Broadband Public Company Limited","199","Triple T Broadband Public Company Limited","4153","socks4","1704","1","2023-12-12T07:33:32.412Z","97","4962","5103"
"65.108.57.128","elite","AS24940","FI","Hetzner Online GmbH","83","Hetzner Online GmbH","10001","socks5","4508","1","2023-12-12T07:33:32.521Z","99","5019","5071"
"176.215.237.166","elite","AS51645","RU","JSC \"ER-Telecom Holding\"","108","OJSC Siberian Telephone Company Network","5678","socks4","3088","1","2023-12-12T07:33:32.330Z","74","3790","5143"
"203.24.103.8","elite","AS209242","VG","Cloudflare London, LLC","98","Anaga Consulting Limited","80","socks4","2297","1","2023-12-12T07:33:32.418Z","100","5114","5115"
"51.15.16.96","elite","AS12876","NL","Online SAS NL","92","SCALEWAY","46919","socks5","4895","2","2023-12-12T07:33:32.523Z","93","4780","5132"
"190.15.247.231","elite","AS27881","AR","Ipnext S.A.","252","Ipnext S.A","5678","socks4","2699","1","2023-12-12T07:33:32.421Z","51","2651","5164"
"5.11.17.230","elite","AS42705","IQ","talia.net","92","Talia Ltd","1080","socks5","4999","1","2023-12-12T07:33:32.419Z","96","4967","5181"
"43.245.243.58","elite","AS56186","NZ","Digital Island Limited","277","Digital Island Limited","5678","socks4","4896","1","2023-12-12T07:33:29.014Z","100","5174","5193"
"141.11.182.4","elite","AS43350","NL","NForce Entertainment B.V.","13","RACK400 com netherlands Infrastructure","3211","socks4","4987","1","2023-12-12T07:33:29.017Z","87","4396","5056"
"114.29.212.145","elite","AS13445","SG","Cisco Webex LLC","281","Webex Communications Inc","80","socks4","4813","1","2023-12-12T07:33:29.015Z","99","5030","5074"
"202.53.172.76","elite","AS23923","BD","Agni Systems Ltd.","194","Agni 12","5678","socks4","5196","1","2023-12-12T07:33:29.010Z","98","5066","5182"
"103.53.110.45","elite","AS133970","IN","Tycoon Computers Pvt. Ltd.","188","Tycoon Computers Pvt. Ltd.","10801","socks4","3200","1","2023-12-12T07:33:29.012Z","97","5040","5174"
"170.81.108.44","elite","AS266416","BR","L3 NETWORKS E TELECOMUNICACOES LTDA","214","L3 NETWORKS E TELECOMUNICACOES LTDA","4153","socks4","4807","1","2023-12-12T07:33:28.927Z","99","5148","5175"
"177.159.145.26","elite","AS18881","BR","TELEFÔNICA BRASIL S.A","291","Global Village Telecom","4153","socks4","5104","1","2023-12-12T07:33:25.711Z","94","4854","5162"
"187.86.129.122","elite","AS53066","BR","VETORIALNET INF. E SERVIÇOS DE INTERNET LTDA","222","VETORIALNET INF. E SERVIÇOS DE INTERNET LTDA","63253","socks4","5103","1","2023-12-12T07:33:25.714Z","100","5205","5222"
"125.209.114.38","elite","AS9260","PK","Multinet 125-114/24","739","Multinet Broadband","5678","socks4","3603","1","2023-12-12T07:33:25.716Z","95","4776","5029"
